,merchant,category,amt,job,is_fraud,trans_hour,age,location
0,"""Stokes, Christiansen and Sipes""",grocery_net,14.37,"""Administrator, education""",1,0,85,"Wales,AK"
1,Predovic Inc,shopping_net,966.11,"""Administrator, education""",1,15,85,"Wales,AK"
2,Wisozk and Sons,misc_pos,49.61,"""Administrator, education""",1,22,85,"Wales,AK"
3,Murray-Smitham,grocery_pos,295.26,"""Administrator, education""",1,23,85,"Wales,AK"
4,Friesen Lt,health_fitness,18.17,"""Administrator, education""",1,23,85,"Wales,AK"
5,"""Raynor, Reinger and Hagenes""",gas_transport,20.45,"""Administrator, education""",1,3,85,"Wales,AK"
6,Heller-Langosh,gas_transport,18.19,"""Administrator, education""",1,3,85,"Wales,AK"
7,Padberg-Welch,grocery_pos,367.29,Cytogeneticist,1,11,70,"Browning,MO"
8,McGlynn-Heathcote,misc_net,768.15,"""Administrator, education""",1,18,85,"Wales,AK"
9,Dooley-Thompson,misc_net,849.49,"""Administrator, education""",1,22,85,"Wales,AK"
10,"""Gottlieb, Considine and Schultz""",shopping_net,1177.79,Cytogeneticist,1,22,70,"Browning,MO"
11,"""Moen, Reinger and Murphy""",grocery_pos,307.09,"""Administrator, education""",1,22,85,"Wales,AK"
12,"""Hauck, Dietrich and Funk""",kids_pets,4.58,"""Administrator, education""",1,22,85,"Wales,AK"
13,Pouros-Haag,shopping_pos,730.78,"""Administrator, education""",1,22,85,"Wales,AK"
14,Goyette Inc,shopping_net,1006.4,"""Administrator, education""",1,22,85,"Wales,AK"
15,"""Baumbach, Strosin and Nicolas""",shopping_pos,830.72,"""Administrator, education""",1,22,85,"Wales,AK"
16,Pacocha-O'Reilly,grocery_pos,311.92,"""Administrator, education""",1,23,85,"Wales,AK"
17,Barrows PLC,shopping_pos,762.93,Cytogeneticist,1,23,70,"Browning,MO"
18,Fisher-Schowalte,shopping_net,855.88,Cytogeneticist,1,18,70,"Browning,MO"
19,Gleason-Macejkovic,shopping_net,909.29,Cytogeneticist,1,23,70,"Browning,MO"
20,Kutch LLC,gas_transport,7.04,"""Solicitor, Scotland""",1,1,50,"Ravenna,NE"
21,Kihn Inc,shopping_pos,644.4,"""Solicitor, Scotland""",1,15,50,"Ravenna,NE"
22,Kris-Weimann,misc_net,784.77,"""Solicitor, Scotland""",1,23,50,"Ravenna,NE"
23,"""Kihn, Abernathy and Douglas""",shopping_net,1116.8,"""Solicitor, Scotland""",1,23,50,"Ravenna,NE"
24,Kiehn-Emmerich,grocery_pos,320.6,"""Solicitor, Scotland""",1,0,50,"Ravenna,NE"
25,"""Osinski, Ledner and Leuschke""",grocery_pos,276.8,"""Solicitor, Scotland""",1,1,50,"Ravenna,NE"
26,Vandervort-Funk,grocery_pos,336.2,"""Solicitor, Scotland""",1,2,50,"Ravenna,NE"
27,Terry-Huel,shopping_net,994.92,Science writer,1,21,69,"San Jose,CA"
28,Volkman-Predovic,shopping_net,1062.95,"""Solicitor, Scotland""",1,22,50,"Ravenna,NE"
29,"""Roob, Conn and Tremblay""",shopping_pos,770.94,"""Solicitor, Scotland""",1,22,50,"Ravenna,NE"
30,"""Tillman, Fritsch and Schmitt""",misc_net,816.89,Science writer,1,23,69,"San Jose,CA"
31,Larson-Moen,entertainment,510.59,"""Solicitor, Scotland""",1,23,50,"Ravenna,NE"
32,Kutch and Sons,grocery_pos,307.5,Science writer,1,23,69,"San Jose,CA"
33,"""Parisian, Schiller and Altenwerth""",misc_net,790.35,Science writer,1,23,69,"San Jose,CA"
34,Kozey-Boehm,shopping_net,1065.43,"""Solicitor, Scotland""",1,23,50,"Ravenna,NE"
35,Rau and Sons,grocery_pos,306.81,Science writer,1,0,69,"San Jose,CA"
36,Parisian and Sons,gas_transport,12.57,Science writer,1,0,69,"San Jose,CA"
37,O'Keefe-Hudson,grocery_pos,324.87,Product designer,1,0,89,"Westerville,NE"
38,Cassin-Harvey,grocery_net,16.44,Product designer,1,1,89,"Westerville,NE"
39,"""Schumm, Bauch and Ondrick""",grocery_pos,277.53,Science writer,1,1,69,"San Jose,CA"
40,"""Towne, Walker and Bore""",grocery_net,13.2,Product designer,1,2,89,"Westerville,NE"
41,Kling-Grant,grocery_net,12.95,Product designer,1,8,89,"Westerville,NE"
42,"""Jenkins, Hauck and Friesen""",gas_transport,8.25,Science writer,1,9,69,"San Jose,CA"
43,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,839.35,Product designer,1,16,89,"Westerville,NE"
44,Beier-Hyatt,shopping_pos,969.64,Science writer,1,22,69,"San Jose,CA"
45,"""Reichert, Huels and Hoppe""",shopping_net,1034.21,Product designer,1,23,89,"Westerville,NE"
46,"""Konopelski, Schneider and Hartmann""",food_dining,121.62,Product designer,1,23,89,"Westerville,NE"
47,VonRueden Group,grocery_net,15.05,Product designer,1,1,89,"Westerville,NE"
48,Koelpin and Sons,misc_net,851.71,Product designer,1,22,89,"Westerville,NE"
49,"""Little, Gutmann and Lynch""",shopping_net,1124.01,Product designer,1,23,89,"Westerville,NE"
50,"""Reichert, Shanahan and Hayes""",shopping_net,1140.41,Product designer,1,23,89,"Westerville,NE"
51,"""Monahan, Bogisich and Ledne""",misc_pos,795.59,"""Surveyor, minerals""",1,1,37,"Thompson,UT"
52,Kutch LLC,gas_transport,9.79,"""Surveyor, minerals""",1,8,37,"Thompson,UT"
53,Kutch-Wilderman,home,187.35,"""Surveyor, minerals""",1,22,37,"Thompson,UT"
54,"""Nicolas, Hills and McGlynn""",entertainment,564.34,"""Surveyor, minerals""",1,22,37,"Thompson,UT"
55,Boyer PLC,shopping_net,978.96,"""Surveyor, minerals""",1,0,37,"Thompson,UT"
56,Kerluke-Abshire,shopping_net,849.79,"""Surveyor, minerals""",1,3,37,"Thompson,UT"
57,Rempel Inc,shopping_net,955.4,"""Surveyor, minerals""",1,3,37,"Thompson,UT"
58,Shanahan-Lehne,personal_care,21.54,"""Surveyor, minerals""",1,14,37,"Thompson,UT"
59,Beier LLC,entertainment,528.98,"""Surveyor, minerals""",1,22,37,"Thompson,UT"
60,Bartoletti and Sons,personal_care,21.23,"""Surveyor, minerals""",1,22,37,"Thompson,UT"
61,Ankunding-Carroll,travel,9.33,"""Surveyor, minerals""",1,23,37,"Thompson,UT"
62,Wilkinson Lt,entertainment,386.91,"""Surveyor, minerals""",1,23,37,"Thompson,UT"
63,"""Huel, Hammes and Witting""",grocery_pos,329.83,Marketing executive,1,1,32,"Parker Dam,CA"
64,Kuhic Inc,grocery_pos,298.01,Marketing executive,1,4,32,"Parker Dam,CA"
65,Donnelly PLC,misc_net,1043.38,Marketing executive,1,22,32,"Parker Dam,CA"
66,Kuhic LLC,shopping_net,1189.69,Marketing executive,1,22,32,"Parker Dam,CA"
67,McDermott-Weimann,grocery_pos,289.8,Marketing executive,1,23,32,"Parker Dam,CA"
68,Friesen Inc,shopping_pos,795.01,Marketing executive,1,23,32,"Parker Dam,CA"
69,DuBuque LLC,grocery_pos,296.87,Marketing executive,1,0,32,"Parker Dam,CA"
70,Hackett-Lueilwitz,grocery_pos,294.02,Marketing executive,1,1,32,"Parker Dam,CA"
71,Kilback LLC,grocery_pos,295.07,Comptroller,1,2,37,"San Diego,CA"
72,Koepp-Parke,grocery_pos,321.49,Marketing executive,1,3,32,"Parker Dam,CA"
73,Kiehn Inc,grocery_pos,276.99,Comptroller,1,3,37,"San Diego,CA"
74,Bauch-Rayno,grocery_pos,306.2,Comptroller,1,5,37,"San Diego,CA"
75,Koepp-Witting,grocery_pos,290.89,Comptroller,1,8,37,"San Diego,CA"
76,"""Kihn, Abernathy and Douglas""",shopping_net,1005.31,Comptroller,1,22,37,"San Diego,CA"
77,Hudson-Ratke,grocery_pos,287.42,Marketing executive,1,22,32,"Parker Dam,CA"
78,"""Romaguera, Cruickshank and Greenholt""",shopping_net,1058.01,Comptroller,1,23,37,"San Diego,CA"
79,"""Reichert, Huels and Hoppe""",shopping_net,1037.0,Comptroller,1,23,37,"San Diego,CA"
80,Murray-Smitham,grocery_pos,285.88,Comptroller,1,1,37,"San Diego,CA"
81,Dooley-Thompson,misc_net,731.6,Comptroller,1,1,37,"San Diego,CA"
82,"""Schoen, Kuphal and Nitzsche""",grocery_pos,326.94,Comptroller,1,3,37,"San Diego,CA"
83,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,715.29,Comptroller,1,23,37,"San Diego,CA"
84,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,986.53,Electronics engineer,1,0,35,"Centerview,MO"
85,Mohr-Baye,shopping_net,1041.76,Electronics engineer,1,1,35,"Centerview,MO"
86,"""Tillman, Fritsch and Schmitt""",misc_net,857.67,Electronics engineer,1,2,35,"Centerview,MO"
87,"""Schiller, Blanda and Johnson""",home,241.08,Electronics engineer,1,22,35,"Centerview,MO"
88,"""Lang, Towne and Schuppe""",kids_pets,19.77,Electronics engineer,1,22,35,"Centerview,MO"
89,Larson-Moen,entertainment,540.67,Electronics engineer,1,23,35,"Centerview,MO"
90,Jacobi and Sons,shopping_pos,868.34,Electronics engineer,1,0,35,"Centerview,MO"
91,"""Schumm, Bauch and Ondrick""",grocery_pos,291.92,Clinical cytogeneticist,1,2,54,"Vacaville,CA"
92,Kilback LLC,grocery_pos,290.2,Electronics engineer,1,2,35,"Centerview,MO"
93,Miller-Harris,misc_net,820.25,Clinical cytogeneticist,1,17,54,"Vacaville,CA"
